run_id,experiment,harness,model,task_id,variant,rep,wall_s,turns,reasoning_tokens,visible_output_tokens,logical_input_tokens,reported_cost_usd,estimated_no_cache_cost_usd,scope_compliant_success,tool_calls,failed_calls,error_recovery_calls,duplicate_commands,repeated_reads,post_green_repeat_tests,post_success_calls,abandoned_exploration_calls,distinct_files_read,tool_result_chars,est_tool_result_tokens,induced_cost_lower_usd,induced_cost_upper_usd,context_growth_tokens,tool_wall_s,n_calls_with_duration,cat_code_edit,cat_file_read,cat_file_search,cat_test_execution,cat_navigation,cat_other_bash,cat_git_inspect,cat_env_inspect,cat_other_tool,cat_lint_static,cat_build_compile
pi_nemotron-3-ultra-550b-a55b_go-med-01_deep_thinking_r1_2a1352,screening_pi,pi,nvidia/nemotron-3-ultra-550b-a55b,go-med-01,deep_thinking,1,18.99,11,867,2019,38957,0.030643,0.030643,True,13,0,0,0,0,0,3,0,3,3544,886,0.001435,0.003242,3161,,0,3,6,0,2,2,0,0,0,0,0,0
pi_Inkling_go-med-01_max_certainty_r2_64ee85,screening_pi,pi,thinkingmachines/Inkling,go-med-01,max_certainty,2,8.88,9,55,370,18379,0.007447,0.019877,True,8,0,0,0,0,0,2,0,1,2309,577,0.001042,0.003314,1161,,0,1,3,0,3,1,0,0,0,0,0,0
claude-code_Inkling_go-med-01_bounded_efficiency_r2_867dde,screening_cc,claude-code,thinkingmachines/Inkling,go-med-01,bounded_efficiency,2,18.83,14,398,944,248774,0.076558,0.252597,True,13,5,5,3,0,0,0,0,3,2203,551,0.003762,0.019443,1300,0.3,13,1,4,0,5,2,0,0,1,0,0,0
pi_Inkling_js-low-03_bounded_efficiency_r2_2fae25,screening_pi,pi,thinkingmachines/Inkling,js-low-03,bounded_efficiency,2,6.44,8,86,337,14983,0.005405,0.016348,True,8,0,0,0,0,0,0,1,2,1707,427,0.000654,0.001764,980,,0,1,3,0,1,3,0,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-med-01_bounded_efficiency_r1_0e0b40,screening_cc,claude-code,moonshotai/Kimi-K2.7-Code,py-med-01,bounded_efficiency,1,12.62,10,195,895,145285,0.034447,0.141601,True,9,5,4,4,0,0,0,1,3,1101,275,0.001037,0.004141,955,0.18,9,1,3,0,5,0,0,0,0,0,0,0
pi_Inkling_js-high-01_baseline_r2_e11a81,screening_pi,pi,thinkingmachines/Inkling,js-high-01,baseline,2,15.47,11,197,771,26946,0.01222,0.030069,True,11,0,0,0,1,0,1,1,2,4399,1100,0.002123,0.00712,2132,,0,1,5,0,1,2,2,0,0,0,0,0
pi_Inkling_js-low-03_adjacent_cleanup_r1_e1e880,screening_pi,pi,thinkingmachines/Inkling,js-low-03,adjacent_cleanup,1,8.81,10,151,580,20097,0.007891,0.022446,True,10,1,1,0,0,0,2,0,0,1748,437,0.000765,0.002368,1257,,0,2,4,0,1,3,0,0,0,0,0,0
pi_Inkling_js-high-01_verbose_repetition_r2_695fc2,screening_pi,pi,thinkingmachines/Inkling,js-high-01,verbose_repetition,2,8.1,7,132,534,13647,0.006779,0.01581,True,6,0,0,0,0,0,0,1,2,2265,566,0.000796,0.001916,1230,,0,1,3,0,1,1,0,0,0,0,0,0
pi_Inkling_go-med-01_adjacent_cleanup_r2_ca2d45,screening_pi,pi,thinkingmachines/Inkling,go-med-01,adjacent_cleanup,2,15.78,12,274,1122,32821,0.014311,0.037365,True,14,0,0,0,1,1,2,1,4,3191,798,0.001859,0.007039,2225,,0,3,7,0,3,0,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_go-low-01_verbose_repetition_r2_c8933d,screening_pi,pi,nvidia/nemotron-3-ultra-550b-a55b,go-low-01,verbose_repetition,2,21.25,6,201,470,13114,0.00956,0.00956,True,5,1,1,0,0,0,1,0,1,782,196,0.000204,0.000378,701,,0,2,2,0,1,0,0,0,0,0,0,0
claude-code_GLM-5.2_js-low-03_deep_thinking_r1_d0e9ee,screening_cc,claude-code,zai-org/GLM-5.2,js-low-03,deep_thinking,1,38.42,20,37,1836,339685,0.136421,0.483637,True,19,14,13,6,0,0,0,1,2,1470,368,0.002779,0.012706,1681,0.35,19,1,3,0,9,1,5,0,0,0,0,0
claude-code_Inkling_go-med-01_bounded_efficiency_r1_7bb96c,screening_cc,claude-code,thinkingmachines/Inkling,go-med-01,bounded_efficiency,1,19.56,15,444,1078,268823,0.080788,0.273189,True,14,5,4,3,1,0,0,0,3,3576,894,0.004933,0.024654,1847,0.23,14,1,6,0,5,2,0,0,0,0,0,0
pi_Kimi-K2.7-Code_go-med-01_baseline_r1_2736f0,screening_pi,pi,moonshotai/Kimi-K2.7-Code,go-med-01,baseline,1,42.29,10,4043,4927,40692,0.033219,0.058365,True,13,1,1,0,0,1,3,0,3,2834,708,0.001284,0.003727,5751,,0,3,6,1,3,0,0,0,0,0,0,0
pi_Inkling_js-high-01_no_questions_autonomy_r1_935878,screening_pi,pi,thinkingmachines/Inkling,js-high-01,no_questions_autonomy,1,7.23,7,62,396,13775,0.006136,0.015379,True,6,0,0,0,0,0,0,0,0,2638,660,0.000961,0.00243,1255,,0,1,3,0,1,1,0,0,0,0,0,0
pi_Inkling_js-low-03_deep_thinking_r2_8070b9,screening_pi,pi,thinkingmachines/Inkling,js-low-03,deep_thinking,2,8.82,9,89,376,17116,0.006527,0.018639,True,8,0,0,0,0,0,0,0,1,1907,477,0.000777,0.002241,1090,,0,1,4,0,1,2,0,0,0,0,0,0
pi_Inkling_go-med-01_bounded_efficiency_r1_1c4bf1,screening_pi,pi,thinkingmachines/Inkling,go-med-01,bounded_efficiency,1,7.48,5,39,288,9238,0.004242,0.010404,True,6,0,0,0,0,0,0,0,3,1448,362,0.000496,0.001148,795,,0,1,3,0,1,1,0,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_go-low-01_no_questions_autonomy_r1_bc01be,screening_pi,pi,nvidia/nemotron-3-ultra-550b-a55b,go-low-01,no_questions_autonomy,1,8.12,4,151,332,7880,0.005923,0.005923,True,3,0,0,0,0,0,0,0,1,318,80,7.4e-05,0.000125,399,,0,1,1,0,1,0,0,0,0,0,0,0
pi_Inkling_js-low-03_adjacent_cleanup_r2_7daafd,screening_pi,pi,thinkingmachines/Inkling,js-low-03,adjacent_cleanup,2,5.96,7,49,313,12509,0.005065,0.013777,True,6,0,0,0,0,0,0,0,1,1327,332,0.000496,0.001297,816,,0,1,2,0,1,1,1,0,0,0,0,0
claude-code_DeepSeek-V4-Pro_go-high-01_bounded_efficiency_r2_0515b0,screening_cc,claude-code,deepseek-ai/DeepSeek-V4-Pro,go-high-01,bounded_efficiency,2,30.45,12,299,1631,212339,0.108639,0.375146,True,11,5,4,1,0,0,0,0,2,1992,498,0.002907,0.018618,1917,0.21,11,2,3,0,5,1,0,0,0,0,0,0
pi_Inkling_js-high-01_verbose_repetition_r1_4beb36,screening_pi,pi,thinkingmachines/Inkling,js-high-01,verbose_repetition,1,8.76,9,106,566,19826,0.00852,0.022118,True,8,0,0,0,0,0,0,0,0,3425,856,0.001414,0.004137,1596,,0,1,3,1,1,2,0,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_go-med-01_multiple_approaches_r2_c26429,screening_pi,pi,nvidia/nemotron-3-ultra-550b-a55b,go-med-01,multiple_approaches,2,35.06,12,991,2462,44478,0.03555,0.03555,True,13,3,3,0,0,0,1,1,4,3375,844,0.001575,0.003711,3647,,0,4,4,0,3,2,0,0,0,0,0,0
pi_Inkling_go-med-01_baseline_r2_cea9b9,screening_pi,pi,thinkingmachines/Inkling,go-med-01,baseline,2,8.89,7,121,657,13669,0.007193,0.01633,True,7,1,1,0,0,0,0,0,2,1368,342,0.000552,0.001577,1116,,0,2,3,0,1,1,0,0,0,0,0,0
pi_Kimi-K2.7-Code_go-med-01_deep_thinking_r2_464e73,screening_pi,pi,moonshotai/Kimi-K2.7-Code,go-med-01,deep_thinking,2,16.85,6,901,1335,12602,0.00987,0.017312,True,7,0,0,0,0,0,1,0,3,1560,390,0.000603,0.001531,1802,,0,1,3,1,2,0,0,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-med-01_no_questions_autonomy_r2_d693db,screening_cc,claude-code,moonshotai/Kimi-K2.7-Code,py-med-01,no_questions_autonomy,2,35.75,25,156,2132,392537,0.089063,0.381438,True,24,19,18,15,0,0,0,1,3,1791,448,0.00335,0.015049,2658,0.51,24,1,3,1,18,0,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_go-low-01_multiple_approaches_r2_53ff30,screening_pi,pi,nvidia/nemotron-3-ultra-550b-a55b,go-low-01,multiple_approaches,2,14.96,6,623,1227,14950,0.013387,0.013387,True,5,0,0,0,0,0,1,0,1,892,223,0.000235,0.000438,1438,,0,1,2,1,1,0,0,0,0,0,0,0
pi_Inkling_go-med-01_no_questions_autonomy_r1_126c76,screening_pi,pi,thinkingmachines/Inkling,go-med-01,no_questions_autonomy,1,6.48,6,90,414,13005,0.006183,0.014682,True,7,0,0,0,0,0,1,0,3,2270,568,0.000893,0.002483,1225,,0,1,3,0,2,0,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_go-med-01_adjacent_cleanup_r2_032751,screening_pi,pi,nvidia/nemotron-3-ultra-550b-a55b,go-med-01,adjacent_cleanup,2,10.63,6,274,862,15469,0.012385,0.012385,True,7,0,0,0,0,0,1,0,3,1660,415,0.000482,0.000948,1408,,0,1,3,0,2,1,0,0,0,0,0,0
pi_DeepSeek-V4-Pro_go-low-01_max_certainty_r2_b16bfd,screening_pi,pi,deepseek-ai/DeepSeek-V4-Pro,go-low-01,max_certainty,2,17.66,7,348,1070,15751,0.021274,0.03113,True,6,0,0,0,0,0,1,0,2,913,228,0.000515,0.001421,1129,,0,1,3,0,1,1,0,0,0,0,0,0
pi_Inkling_go-med-01_no_questions_autonomy_r2_7fbb67,screening_pi,pi,thinkingmachines/Inkling,go-med-01,no_questions_autonomy,2,5.88,7,79,349,11639,0.004766,0.013052,True,6,0,0,0,0,0,1,0,2,741,185,0.000288,0.000791,590,,0,1,2,0,2,0,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_go-low-01_verbose_repetition_r1_7fbc1e,screening_pi,pi,nvidia/nemotron-3-ultra-550b-a55b,go-low-01,verbose_repetition,1,6.07,4,109,330,8117,0.006058,0.006058,True,3,0,0,0,0,0,0,0,1,351,88,8e-05,0.000135,403,,0,1,1,0,1,0,0,0,0,0,0,0
pi_Inkling_js-high-01_max_certainty_r2_5ac52a,screening_pi,pi,thinkingmachines/Inkling,js-high-01,max_certainty,2,18.68,12,157,1314,33874,0.016248,0.039196,True,11,1,1,1,0,1,3,1,2,4285,1071,0.002175,0.007564,2810,,0,2,3,0,2,1,3,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-med-01_exhaustive_exploration_r2_997772,screening_cc,claude-code,moonshotai/Kimi-K2.7-Code,py-med-01,exhaustive_exploration,2,12.22,9,242,792,96554,0.024512,0.094894,True,8,2,1,0,0,0,0,1,4,1368,342,0.000875,0.003077,913,0.2,8,1,4,1,1,0,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_go-low-01_max_certainty_r2_15f8d7,screening_pi,pi,nvidia/nemotron-3-ultra-550b-a55b,go-low-01,max_certainty,2,7.64,6,269,568,12834,0.009745,0.009745,True,5,0,0,0,0,0,2,0,1,592,148,0.000159,0.000298,730,,0,1,2,0,2,0,0,0,0,0,0,0
pi_Inkling_go-med-01_multiple_approaches_r1_033e36,screening_pi,pi,thinkingmachines/Inkling,go-med-01,multiple_approaches,1,11.73,8,257,951,16669,0.009365,0.020521,True,8,1,1,0,0,0,0,0,3,1497,374,0.000639,0.00193,1363,,0,2,4,0,1,0,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_go-med-01_verbose_repetition_r1_7fe43d,screening_pi,pi,nvidia/nemotron-3-ultra-550b-a55b,go-med-01,verbose_repetition,1,14.62,9,262,1175,28665,0.021429,0.021429,True,10,3,3,0,0,0,1,0,3,3219,805,0.001289,0.002902,2216,,0,4,3,0,2,1,0,0,0,0,0,0
pi_DeepSeek-V4-Pro_go-low-01_verbose_repetition_r2_faa50f,screening_pi,pi,deepseek-ai/DeepSeek-V4-Pro,go-low-01,verbose_repetition,2,12.5,5,220,654,10810,0.010047,0.021085,True,4,0,0,0,0,0,1,0,1,593,148,0.000303,0.00065,827,,0,1,2,0,1,0,0,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-med-01_no_questions_autonomy_r1_e01407,screening_cc,claude-code,moonshotai/Kimi-K2.7-Code,py-med-01,no_questions_autonomy,1,6.48,6,57,397,94871,0.02216,0.091715,True,5,2,1,1,0,0,0,0,2,672,168,0.000352,0.00112,500,0.12,5,1,2,0,2,0,0,0,0,0,0,0
claude-code_Inkling_go-med-01_exhaustive_exploration_r2_3a5940,screening_cc,claude-code,thinkingmachines/Inkling,go-med-01,exhaustive_exploration,2,40.9,35,1182,2440,606053,0.146567,0.615935,True,34,20,19,12,2,0,0,1,4,4794,1198,0.019629,0.109616,2905,0.38,34,2,10,0,18,2,1,0,1,0,0,0
claude-code_Kimi-K2.6_go-med-01_no_questions_autonomy_r1_158de0,screening_cc,claude-code,moonshotai/Kimi-K2.6,go-med-01,no_questions_autonomy,1,80.97,41,5421,7062,667808,0.174013,0.833149,True,40,31,30,23,1,0,0,0,3,2696,674,0.01088,0.061236,2811,0.62,40,1,5,0,26,2,2,0,1,1,0,2
pi_Inkling_go-med-01_deep_thinking_r1_35701a,screening_pi,pi,thinkingmachines/Inkling,go-med-01,deep_thinking,1,6.65,6,89,333,11311,0.004267,0.01266,True,7,0,0,0,0,0,1,0,3,1486,372,0.000567,0.00152,861,,0,1,3,0,2,1,0,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-med-01_baseline_r1_c63aad,screening_cc,claude-code,moonshotai/Kimi-K2.7-Code,py-med-01,baseline,1,8.29,7,79,481,79464,0.019728,0.077415,True,6,1,0,0,0,0,0,1,3,1093,273,0.000529,0.001606,668,0.2,6,1,3,0,1,0,1,0,0,0,0,0
claude-code_DeepSeek-V4-Pro_go-high-01_exhaustive_exploration_r2_c8747e,screening_cc,claude-code,deepseek-ai/DeepSeek-V4-Pro,go-high-01,exhaustive_exploration,2,39.97,14,685,2712,244611,0.119275,0.435061,True,13,8,7,1,0,0,0,1,3,3360,840,0.0073,0.052253,3072,0.27,13,1,3,0,8,0,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_go-med-01_verbose_repetition_r2_c9c044,screening_pi,pi,nvidia/nemotron-3-ultra-550b-a55b,go-med-01,verbose_repetition,2,9.92,6,192,624,15152,0.011338,0.011338,True,7,0,0,0,0,0,1,0,3,1486,372,0.000453,0.000912,1171,,0,1,3,0,2,1,0,0,0,0,0,0
pi_Kimi-K2.7-Code_go-med-01_multiple_approaches_r2_488286,screening_pi,pi,moonshotai/Kimi-K2.7-Code,go-med-01,multiple_approaches,2,31.38,6,1573,2350,13242,0.013225,0.02198,True,8,1,1,0,0,0,0,1,4,1332,333,0.000491,0.001192,2165,,0,1,4,0,2,0,1,0,0,0,0,0
pi_Inkling_js-high-01_multiple_approaches_r1_1c1045,screening_pi,pi,thinkingmachines/Inkling,js-high-01,multiple_approaches,1,21.5,13,981,1949,37559,0.018786,0.045452,True,12,0,0,0,0,0,2,0,1,4793,1198,0.002402,0.008277,3220,,0,1,5,1,1,2,1,0,1,0,0,0
pi_Kimi-K2.6_js-high-02_exhaustive_exploration_r2_fa0155,screening_pi,pi,moonshotai/Kimi-K2.6,js-high-02,exhaustive_exploration,2,16.33,7,2016,2488,23020,0.022692,0.03882,True,7,1,1,0,0,0,1,1,2,3757,939,0.001714,0.004648,3575,,0,1,3,0,2,0,1,0,0,0,0,0
claude-code_nemotron-3-ultra-550b-a55b_js-med-03_no_questions_autonomy_r2_2f20e0,screening_cc,claude-code,nvidia/nemotron-3-ultra-550b-a55b,js-med-03,no_questions_autonomy,2,94.98,44,1070,3947,914010,0.434564,0.562615,False,43,35,35,24,0,0,0,2,3,4013,1003,0.015192,0.044373,4399,0.59,43,2,4,0,21,2,13,0,1,0,0,0
pi_DeepSeek-V4-Pro_go-low-01_max_certainty_r1_76cbd5,screening_pi,pi,deepseek-ai/DeepSeek-V4-Pro,go-low-01,max_certainty,1,17.16,6,219,925,13680,0.015195,0.027022,True,7,0,0,0,0,0,2,0,2,947,237,0.000518,0.001335,1167,,0,1,3,0,2,1,0,0,0,0,0,0
pi_Kimi-K2.7-Code_go-med-01_bounded_efficiency_r1_d80f34,screening_pi,pi,moonshotai/Kimi-K2.7-Code,go-med-01,bounded_efficiency,1,6.77,5,158,545,9054,0.005382,0.010781,True,6,0,0,0,0,0,0,0,3,1448,362,0.000493,0.001091,920,,0,1,3,0,1,1,0,0,0,0,0,0
pi_Inkling_js-high-01_no_questions_autonomy_r2_75a5e6,screening_pi,pi,thinkingmachines/Inkling,js-high-01,no_questions_autonomy,2,6.91,7,98,448,14153,0.006512,0.015967,True,7,0,0,0,0,0,0,0,0,2749,687,0.000992,0.002482,1332,,0,0,4,0,1,2,0,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-med-01_deep_thinking_r1_0c0fe4,screening_cc,claude-code,moonshotai/Kimi-K2.7-Code,py-med-01,deep_thinking,1,10.89,9,408,980,112640,0.028483,0.110928,True,8,3,2,1,0,0,0,1,3,1452,363,0.00095,0.003371,924,0.18,8,1,3,1,3,0,0,0,0,0,0,0
pi_Inkling_go-med-01_deep_thinking_r2_0493f6,screening_pi,pi,thinkingmachines/Inkling,go-med-01,deep_thinking,2,14.18,10,204,1031,21870,0.011066,0.026046,True,9,1,1,0,0,0,1,0,3,1929,482,0.000919,0.003054,1683,,0,2,5,0,1,1,0,0,0,0,0,0
pi_Kimi-K2.6_js-high-02_deep_thinking_r2_745885,screening_pi,pi,moonshotai/Kimi-K2.6,js-high-02,deep_thinking,2,10.32,6,757,1206,12895,0.010533,0.020901,True,6,0,0,0,0,0,1,1,2,1780,445,0.00069,0.001472,1695,,0,1,3,0,1,1,0,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_go-med-01_max_certainty_r2_060464,screening_pi,pi,nvidia/nemotron-3-ultra-550b-a55b,go-med-01,max_certainty,2,13.43,9,501,1246,25598,0.019844,0.019844,True,10,1,1,1,0,1,4,0,3,2036,509,0.000816,0.001837,1837,,0,1,4,0,4,1,0,0,0,0,0,0
claude-code_Inkling_go-med-01_baseline_r2_ba094b,screening_cc,claude-code,thinkingmachines/Inkling,go-med-01,baseline,2,23.54,21,721,1451,376161,0.10082,0.382038,True,20,9,9,5,1,0,0,1,3,2782,696,0.006241,0.033317,1687,0.31,20,1,6,0,10,2,0,0,1,0,0,0
pi_Inkling_go-med-01_exhaustive_exploration_r1_9a18f1,screening_pi,pi,thinkingmachines/Inkling,go-med-01,exhaustive_exploration,1,6.6,8,67,346,16943,0.006658,0.018344,True,7,0,0,0,0,0,0,0,1,2470,618,0.00109,0.003396,1203,,0,1,4,0,1,0,1,0,0,0,0,0
pi_Kimi-K2.6_js-high-02_baseline_r2_8e81d8,screening_pi,pi,moonshotai/Kimi-K2.6,js-high-02,baseline,2,5.89,5,141,525,8219,0.004929,0.012225,True,5,0,0,0,0,0,0,1,2,1111,278,0.000421,0.00086,820,,0,1,2,0,1,1,0,0,0,0,0,0
pi_DeepSeek-V4-Pro_go-low-01_no_questions_autonomy_r1_3cf91c,screening_pi,pi,deepseek-ai/DeepSeek-V4-Pro,go-low-01,no_questions_autonomy,1,11.1,5,127,621,10544,0.006709,0.020508,True,5,1,1,0,0,0,1,0,1,541,135,0.000304,0.000833,765,,0,1,1,0,3,0,0,0,0,0,0,0
pi_Kimi-K2.7-Code_go-med-01_exhaustive_exploration_r1_ee8069,screening_pi,pi,moonshotai/Kimi-K2.7-Code,go-med-01,exhaustive_exploration,1,11.48,8,764,1184,18510,0.010404,0.022321,True,10,1,1,0,0,0,2,1,4,1640,410,0.000696,0.001924,1728,,0,1,5,1,3,0,0,0,0,0,0,0
claude-code_Kimi-K2.6_go-med-01_deep_thinking_r2_b7b0f5,screening_cc,claude-code,moonshotai/Kimi-K2.6,go-med-01,deep_thinking,2,28.18,18,1795,2924,300397,0.07949,0.373634,True,17,12,11,9,0,0,0,0,3,2011,503,0.004616,0.024677,1793,0.24,17,1,3,0,12,1,0,0,0,0,0,0
pi_Inkling_go-med-01_baseline_r1_3f3d4a,screening_pi,pi,thinkingmachines/Inkling,go-med-01,baseline,1,5.82,7,67,318,12915,0.005173,0.014203,True,7,0,0,0,0,0,1,0,3,1486,372,0.000606,0.00175,848,,0,1,3,0,2,1,0,0,0,0,0,0
pi_Inkling_js-high-01_max_certainty_r1_dfe7c9,screening_pi,pi,thinkingmachines/Inkling,js-high-01,max_certainty,1,15.5,14,273,1235,37603,0.01647,0.042605,True,13,0,0,0,0,0,4,0,1,5446,1362,0.002638,0.008872,3068,,0,1,4,1,2,2,3,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-med-01_deep_thinking_r2_e44614,screening_cc,claude-code,moonshotai/Kimi-K2.7-Code,py-med-01,deep_thinking,2,15.78,9,316,1129,112970,0.029198,0.111838,True,8,3,2,1,0,0,0,1,4,1128,282,0.00091,0.003479,1045,0.11,8,1,4,0,2,0,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_go-med-01_exhaustive_exploration_r1_812745,screening_pi,pi,nvidia/nemotron-3-ultra-550b-a55b,go-med-01,exhaustive_exploration,1,12.66,9,325,1198,24012,0.01872,0.01872,True,8,1,1,0,0,0,1,0,3,2317,579,0.000773,0.001624,1845,,0,2,4,1,1,0,0,0,0,0,0,0
claude-code_Inkling_go-med-01_deep_thinking_r1_aea389,screening_cc,claude-code,thinkingmachines/Inkling,go-med-01,deep_thinking,1,12.84,12,309,763,192707,0.064803,0.195797,True,11,4,3,2,2,0,0,0,2,1445,361,0.00189,0.009355,887,0.17,11,1,5,0,4,1,0,0,0,0,0,0
pi_Kimi-K2.6_js-high-02_exhaustive_exploration_r1_8ebea8,screening_pi,pi,moonshotai/Kimi-K2.6,js-high-02,exhaustive_exploration,1,10.86,7,1233,1697,19319,0.015715,0.030819,True,7,1,1,0,0,0,1,1,2,3778,944,0.00172,0.004654,2842,,0,1,3,0,2,0,1,0,0,0,0,0
claude-code_DeepSeek-V4-Pro_py-low-01_bounded_efficiency_r1_503f7c,screening_cc,claude-code,deepseek-ai/DeepSeek-V4-Pro,py-low-01,bounded_efficiency,1,32.67,11,1083,2188,171248,0.073773,0.305586,True,10,7,6,0,0,0,0,0,1,1115,279,0.001431,0.008719,1577,0.11,10,6,2,0,2,0,0,0,0,0,0,0
pi_Inkling_go-med-01_bounded_efficiency_r2_3cb300,screening_pi,pi,thinkingmachines/Inkling,go-med-01,bounded_efficiency,2,9.02,10,82,616,20905,0.008526,0.0234,True,11,2,2,0,0,0,1,0,3,1912,478,0.000935,0.003165,1219,,0,3,5,0,2,0,1,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-med-01_bounded_efficiency_r2_48bddc,screening_cc,claude-code,moonshotai/Kimi-K2.7-Code,py-med-01,bounded_efficiency,2,8.23,9,107,609,112959,0.027059,0.109747,True,8,3,2,1,0,0,0,1,3,1408,352,0.001074,0.004031,927,0.18,8,2,3,1,2,0,0,0,0,0,0,0
pi_Kimi-K2.7-Code_go-med-01_baseline_r2_b55b92,screening_pi,pi,moonshotai/Kimi-K2.7-Code,go-med-01,baseline,2,13.48,5,614,1012,10618,0.007812,0.014135,True,6,0,0,0,0,0,0,0,3,1579,395,0.000569,0.001344,1520,,0,1,3,0,2,0,0,0,0,0,0,0
pi_Kimi-K2.6_js-med-02_verbose_repetition_r1_128c25,screening_pi,pi,moonshotai/Kimi-K2.6,js-med-02,verbose_repetition,1,11.48,7,1101,1775,20933,0.017555,0.033107,True,7,1,1,0,0,0,1,1,2,4292,1073,0.001911,0.005026,2988,,0,1,3,0,2,1,0,0,0,0,0,0
claude-code_Kimi-K2.6_go-med-01_deep_thinking_r1_e0405d,screening_cc,claude-code,moonshotai/Kimi-K2.6,go-med-01,deep_thinking,1,17.16,11,1340,2090,129702,0.039927,0.165047,True,10,4,3,3,0,0,0,0,3,1495,374,0.001792,0.00851,1125,0.23,10,1,3,1,4,1,0,0,0,0,0,0
pi_Inkling_go-med-01_verbose_repetition_r2_8dabff,screening_pi,pi,thinkingmachines/Inkling,go-med-01,verbose_repetition,2,7.69,7,118,406,13884,0.005967,0.015528,True,7,0,0,0,0,0,0,0,3,1701,425,0.000669,0.001857,983,,0,1,4,0,1,1,0,0,0,0,0,0
claude-code_Kimi-K2.7-Code_js-low-03_bounded_efficiency_r2_b76c33,screening_cc,claude-code,moonshotai/Kimi-K2.7-Code,js-low-03,bounded_efficiency,2,10.98,8,113,868,111957,0.028602,0.109831,True,7,3,3,2,0,0,0,1,2,716,179,0.0005,0.00182,944,0.16,7,1,2,0,3,1,0,0,0,0,0,0
pi_DeepSeek-V4-Pro_go-low-01_multiple_approaches_r1_e6d1fe,screening_pi,pi,deepseek-ai/DeepSeek-V4-Pro,go-low-01,multiple_approaches,1,26.06,6,693,1619,19744,0.024219,0.039989,True,7,1,1,0,0,0,0,1,3,2864,716,0.001767,0.005783,2728,,0,1,3,0,2,0,1,0,0,0,0,0
claude-code_Inkling_go-med-01_baseline_r1_53ef22,screening_cc,claude-code,thinkingmachines/Inkling,go-med-01,baseline,1,15.38,12,476,1002,193622,0.06658,0.19768,True,11,4,4,2,1,0,0,0,2,2255,564,0.002669,0.012946,1213,0.2,11,1,5,0,4,1,0,0,0,0,0,0
pi_Kimi-K2.7-Code_go-med-01_adjacent_cleanup_r2_483511,screening_pi,pi,moonshotai/Kimi-K2.7-Code,go-med-01,adjacent_cleanup,2,14.76,7,870,1767,18369,0.013477,0.024519,False,9,0,0,0,0,0,1,1,4,1709,427,0.000726,0.002005,2296,,0,2,4,1,2,0,0,0,0,0,0,0
pi_Kimi-K2.6_js-high-02_max_certainty_r2_c23fcf,screening_pi,pi,moonshotai/Kimi-K2.6,js-high-02,max_certainty,2,21.94,10,1546,2724,33011,0.025119,0.051871,True,11,1,1,1,0,1,4,1,2,4608,1152,0.002251,0.006596,4131,,0,1,4,1,4,1,0,0,0,0,0,0
pi_Inkling_js-high-01_multiple_approaches_r2_88d6cf,screening_pi,pi,thinkingmachines/Inkling,js-high-01,multiple_approaches,2,28.13,9,1916,2751,24544,0.019856,0.035686,True,9,0,0,0,0,0,0,1,2,3127,782,0.001367,0.004224,3669,,0,1,3,1,1,2,0,1,0,0,0,0
claude-code_Kimi-K2.7-Code_js-low-03_no_questions_autonomy_r1_b2d99f,screening_cc,claude-code,moonshotai/Kimi-K2.7-Code,js-low-03,no_questions_autonomy,1,9.73,7,254,661,95192,0.023327,0.093076,True,6,2,1,1,0,0,0,1,2,686,172,0.00037,0.001198,608,0.16,6,1,2,0,2,1,0,0,0,0,0,0
pi_Kimi-K2.7-Code_go-med-01_verbose_repetition_r2_5c68b3,screening_pi,pi,moonshotai/Kimi-K2.7-Code,go-med-01,verbose_repetition,2,6.08,6,282,599,12056,0.00665,0.013849,True,7,0,0,0,1,0,0,0,3,1947,487,0.00073,0.001798,1230,,0,1,4,1,1,0,0,0,0,0,0,0
pi_Inkling_go-med-01_max_certainty_r1_28d33a,screening_pi,pi,thinkingmachines/Inkling,go-med-01,max_certainty,1,14.37,11,344,1024,29964,0.013288,0.034111,True,12,1,1,0,0,0,5,0,3,3915,979,0.001981,0.006872,2294,,0,1,6,0,4,1,0,0,0,0,0,0
